geo_id,latitude,longitude
546,39.4854,-119.785
547,41.2966,-95.9951
548,40.9945,-75.1827
549,37.5545,-77.4185
550,42.2594,-83.6608
551,35.4687,-83.3534
552,33.4099,-112.187
553,41.6351,-83.5163
554,28.2949,-82.6113
555,36.0978,-79.4386
556,41.2526,-95.954
557,24.5611,-81.7733
558,42.3061,-71.0621
559,30.4339,-90.4381
560,34.8716,-82.4265
561,41.9305,-87.6882
562,39.1325,-84.6004
563,41.3322,-75.9572
564,41.7603,-72.6891
565,25.8367,-80.2231
566,35.5077,-97.3005
567,42.9641,-71.4335
568,41.1202,-80.6669
569,25.8564,-80.1206
570,31.6617,-111.061
571,42.9928,-83.7094
572,35.0463,-85.2634
573,35.1115,-90.0217
574,41.2691,-75.9099
575,40.621,-75.3991
576,45.5771,-122.681
577,36.1515,-95.971
578,42.4545,-73.2543
579,27.3863,-80.3302
580,36.8444,-86.5379
581,41.6243,-87.6527
582,43.2269,-77.2828
583,33.5167,-88.379
584,42.0639,-71.0156
585,35.1391,-90.0536
586,43.1807,-76.0905
587,39.7472,-75.5714
588,33.495,-112.024
589,41.6471,-83.519
590,41.5661,-93.8217
591,36.2143,-115.146
592,33.1659,-80.1767
593,31.1216,-97.726
594,39.5806,-104.886
595,36.9806,-80.782
596,40.0645,-75.1569
597,40.7106,-73.7836
598,43.0791,-87.9497
599,40.0308,-75.1316
600,41.0288,-85.1389
601,37.6467,-97.2803
602,45.4975,-122.613
603,43.1584,-77.6367
604,37.2873,-79.9655
605,36.0848,-79.7581
606,33.7404,-117.903
607,64.7653,-147.367
608,41.5407,-90.601
609,42.354,-71.0619
610,39.8633,-75.3654
611,38.2526,-85.6511
612,28.6139,-81.4541
613,40.9121,-74.1558
614,27.7584,-97.416
615,40.461,-79.8664
616,40.4364,-96.7279
617,40.4632,-80.0198
618,38.055,-84.4913
619,37.6486,-97.3891
620,41.7925,-87.6463
621,42.8416,-73.1679
622,38.6688,-90.2375
623,40.235,-74.781
624,37.5889,-120.952
625,30.2028,-97.8069
626,35.0271,-90.0903
627,40.914,-73.8374
628,42.3583,-71.0534
629,47.9199,-122.247
630,35.982,-78.8965
631,39.9077,-86.0391
632,29.7785,-95.4126
633,40.4274,-79.8145
634,37.9579,-85.1991
635,41.8819,-87.7454
636,39.7604,-84.2534
637,30.0127,-90.0108
638,30.6429,-90.4979
639,41.3605,-72.1089
640,34.9642,-78.9442
641,26.7573,-80.0576
642,33.3946,-112.563
643,35.0451,-89.8819
644,37.2821,-81.385
645,28.5545,-81.8495
646,27.1922,-80.241
647,38.2183,-85.6593
648,37.9478,-121.314
649,43.0692,-89.4781
650,31.4308,-97.2024
651,40.8197,-73.8965
652,40.29,-76.8161
653,38.663,-90.2213
654,32.3232,-90.2057
655,38.3284,-75.3821
656,30.3935,-88.9304
657,30.3487,-87.15
658,36.2327,-115.327
659,46.0464,-118.397
660,41.3944,-82.1092
661,29.6992,-91.2276
662,41.765,-87.6542
663,40.3758,-86.8723
664,39.2487,-84.4503
665,33.5006,-112.178
666,39.4947,-86.0578
667,40.785,-77.8323
668,38.8471,-104.738
669,35.0896,-106.643
670,37.3885,-122.004
671,36.7459,-119.75
672,42.0703,-87.7304
673,39.3091,-76.6105
674,42.2889,-85.6264
675,33.4563,-97.81
676,41.6698,-72.9518
677,39.1206,-122.834
678,39.2754,-76.6422
679,26.7177,-81.8711
680,33.576,-101.894
681,41.1915,-73.1841
682,34.126,-77.8996
683,39.8314,-86.0768
684,38.4713,-81.7822
685,41.5976,-75.7993
686,38.6785,-90.2661
687,40.5922,-75.3434
688,37.772,-122.201
689,40.7677,-73.9876
690,29.8997,-90.1292
691,46.7879,-92.097
692,36.8288,-76.0662
693,38.3747,-81.7254
694,41.5484,-88.0558
695,42.3145,-71.0693
696,37.5562,-77.4259
697,34.2067,-119.183
698,34.7354,-79.9997
699,38.6511,-75.5951
700,38.7886,-121.238
701,37.656,-122.04
702,33.3781,-80.3053
703,41.8872,-87.7651
704,42.8238,-75.5427
705,38.7655,-77.5916
706,28.2389,-82.7276
707,32.3252,-86.3122
708,41.8522,-87.6997
709,41.1787,-73.2088
710,38.6648,-90.2724
711,28.4841,-81.4576
712,40.142,-87.6384
713,42.5505,-83.4388
714,34.9252,-81.0347
715,30.3834,-81.6411
716,29.9731,-90.0608
717,41.7447,-88.3191
718,43.0643,-87.9622
719,39.3676,-84.1192
720,41.5199,-88.0956
721,38.2542,-104.609
722,33.8268,-116.533
723,42.2501,-89.0722
724,41.6847,-70.1442
725,39.7733,-89.6667
726,26.0302,-80.2273
727,40.4021,-75.9202
728,41.7923,-88.2801
729,30.4574,-91.1647
730,47.7704,-122.324
731,28.8226,-81.9009
732,39.3048,-76.5812
733,41.8786,-87.6864
734,26.3689,-80.1457
735,39.316,-84.3679
736,40.7918,-81.5201
737,34.8643,-118.176
738,41.8794,-87.8112
739,42.6672,-73.7704
740,44.9585,-93.0851
741,28.5915,-81.4742
742,32.7785,-96.9081
743,42.4946,-92.3545
744,41.8772,-87.7235
745,44.5391,-122.918
746,39.9467,-83.0661
747,45.6756,-122.486
748,42.4568,-83.309
749,36.0896,-95.9484
750,34.0955,-118.084
751,32.7822,-91.9168
752,33.9234,-118.254
753,38.6781,-90.27
754,35.1839,-101.867
755,38.663,-90.2771
756,42.9129,-78.8079
757,33.9295,-117.943
758,41.1989,-73.9822
759,42.7193,-87.7924
760,38.2697,-81.5738
761,34.0451,-117.651
762,19.5961,-155.119
763,38.248,-85.7698
764,36.0473,-78.9225
765,34.7677,-79.6763
766,37.0907,-76.4877
767,39.4827,-88.3724
768,41.2362,-80.8119
769,38.9276,-77.0297
770,33.0523,-83.2362
771,30.3351,-97.7082
772,41.8229,-87.6898
773,39.4167,-74.9744
774,35.0521,-85.3039
775,42.0497,-72.0373
776,39.6328,-86.1594
777,40.2343,-81.5967
778,42.2697,-88.3133
779,41.4817,-81.7615
780,33.78,-86.8158
781,34.4693,-96.3726
782,30.8652,-83.3129
783,38.5115,-90.3198
784,42.0798,-84.8653
785,36.6236,-81.1418
786,34.1322,-117.995
787,33.6962,-117.771
788,45.0757,-123.396
789,43.5968,-83.8831
790,39.8067,-84.2231
791,35.1167,-90.0362
792,33.4499,-94.0865
793,38.0126,-121.283
794,35.5962,-89.244
795,33.9391,-83.4548
796,39.6784,-104.988
797,41.6997,-87.6342
798,28.0352,-80.6499
799,61.2097,-149.867
800,30.2719,-91.9085
801,26.1385,-81.7952
802,37.5469,-77.398
803,41.4498,-81.4964
804,35.0138,-85.2744
805,42.7408,-71.3325
806,28.5035,-82.336
807,36.206,-86.7717
808,32.6555,-97.1719
809,31.5917,-91.3561
810,42.9232,-85.6685
811,26.6368,-81.8582
812,40.3789,-74.5826
813,34.0743,-117.467
814,42.718,-84.5406
815,42.214,-73.8879
816,28.4655,-81.3831
817,27.996,-82.4161
818,39.9323,-85.376
819,33.6762,-112.101
820,40.8897,-73.8639
821,42.4396,-83.0168
822,44.4547,-73.7057
823,41.7126,-87.6201
824,43.1025,-87.9492
825,35.3625,-118.932
826,40.616,-73.9558
827,34.8061,-92.2635
828,41.2627,-95.85
829,41.8728,-87.7184
830,42.0179,-87.6757
831,37.4344,-79.1224
832,41.7486,-87.7693
833,29.6723,-95.5834
834,36.539,-87.3385
835,39.5247,-121.574
836,37.9903,-122.34
837,41.9003,-87.6894
838,29.9414,-90.0678
839,38.0445,-84.4857
840,33.7617,-84.5072
841,39.2558,-76.4845
